jsrq,cjsj,jsbh,spdm,spmc,pzdl,jsj,jsl,phl,jysbh,qylb,ppdm,jysmc,sjghl,ghydl,wtlx,lldk,sjdk,yhkje,djdk,dyje,ghsjdk,ghdyje,dbdk,jsfs,jszt,drsj,sjsj,byzd1,byzd2
2016/09/26,10:46:49,00000002,CU010028,诚骋-ISA,铜,37810,25,24.084,00000001,诚骋,ISA,深圳迈科大宗商品金融服务有限公司,24.084,-0.916,委买,945250,910616.04,910616.04,0,-34633.96,910616.04,-34633.96,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2016/09/26,10:46:49,00000002,CU010028,诚骋-ISA,铜,37810,25,24.084,00100001,诚骋,ISA,0,24.084,-0.916,委卖,945250,910616.04,910616.04,0,-34633.96,910616.04,-34633.96,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2016/12/06,14:40:23,00000002,CU010065,诚骋-ZADIVA,铜,47510,25,25.262,00000001,诚骋,ZADIVA,深圳迈科大宗商品金融服务有限公司,25.262,0.262,委买,1187750,1200197.62,1200197.62,0,12447.62,1200197.62,12447.62,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2016/12/06,14:40:23,00000002,CU010065,诚骋-ZADIVA,铜,47510,25,25.262,00100001,诚骋,ZADIVA,0,25.262,0.262,委卖,1187750,1200197.62,1200197.62,0,12447.62,1200197.62,12447.62,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2016/12/07,10:13:17,00000002,CU010013,诚骋-CMCC,铜,47310,25,24.627,00000001,诚骋,CMCC,深圳迈科大宗商品金融服务有限公司,24.627,-0.373,委买,1182750,1165103.37,1165103.37,0,-17646.63,1165103.37,-17646.63,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2016/12/07,10:13:17,00000002,CU010013,诚骋-CMCC,铜,47310,25,24.627,00100001,诚骋,CMCC,0,24.627,-0.373,委卖,1182750,1165103.37,1165103.37,0,-17646.63,1165103.37,-17646.63,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,11:10:22,00000001,CU010055,诚骋-SPENCE,铜,47380,100,98.817,00000006,诚骋,SPENCE,上海金田铜业有限公司,98.817,-1.183,委买,4738000,4681949.46,4681949.46,0,-56050.54,4681949.46,-56050.54,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,11:10:22,00000001,CU010055,诚骋-SPENCE,铜,47380,100,98.817,00000007,诚骋,SPENCE,上海迈科迪信投资管理有限公司,98.817,-1.183,委卖,4738000,4681949.46,4681949.46,0,-56050.54,4681949.46,-56050.54,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,11:11:32,00000002,CU010057,诚骋-STERLI,铜,47400,100,99.743,00000006,诚骋,STERLI,上海金田铜业有限公司,99.743,-0.257,委买,4740000,4727818.2,4727818.2,0,-12181.8,4727818.2,-12181.8,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,11:11:32,00000002,CU010057,诚骋-STERLI,铜,47400,100,99.743,00000007,诚骋,STERLI,上海迈科迪信投资管理有限公司,99.743,-0.257,委卖,4740000,4727818.2,4727818.2,0,-12181.8,4727818.2,-12181.8,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,11:12:02,00000003,CU010055,诚骋-SPENCE,铜,47390,100,100.748,00000006,诚骋,SPENCE,上海金田铜业有限公司,100.748,0.748,委买,4739000,4774447.72,4774447.72,0,35447.72,4774447.72,35447.72,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,11:12:02,00000003,CU010055,诚骋-SPENCE,铜,47390,100,100.748,00000007,诚骋,SPENCE,上海迈科迪信投资管理有限公司,100.748,0.748,委卖,4739000,4774447.72,4774447.72,0,35447.72,4774447.72,35447.72,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,11:14:03,00000004,CU010005,诚骋-BIRLA,铜,47410,100,99.576,00000007,诚骋,BIRLA,上海迈科迪信投资管理有限公司,99.576,-0.424,委卖,4741000,4720898.16,4720898.16,0,-20101.84,4720898.16,-20101.84,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,11:14:03,00000004,CU010005,诚骋-BIRLA,铜,47410,100,99.576,00000047,诚骋,BIRLA,上海京慧诚国际贸易有限公司,99.576,-0.424,委买,4741000,4720898.16,4720898.16,0,-20101.84,4720898.16,-20101.84,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,11:14:43,00000005,CU010057,诚骋-STERLI,铜,47380,100,99.319,00000006,诚骋,STERLI,上海金田铜业有限公司,99.319,-0.681,委买,4738000,4705734.22,4705734.22,0,-32265.78,4705734.22,-32265.78,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,11:14:43,00000005,CU010057,诚骋-STERLI,铜,47380,100,99.319,00000007,诚骋,STERLI,上海迈科迪信投资管理有限公司,99.319,-0.681,委卖,4738000,4705734.22,4705734.22,0,-32265.78,4705734.22,-32265.78,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,11:28:25,00000006,CU010064,诚骋-祥光,铜,47440,100,99.092,00000007,诚骋,祥光,上海迈科迪信投资管理有限公司,99.092,-0.908,委卖,4744000,4700924.48,4700924.48,0,-43075.52,4700924.48,-43075.52,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,11:28:25,00000006,CU010064,诚骋-祥光,铜,47440,100,99.092,00000022,诚骋,祥光,上海五锐国际贸易有限公司,99.092,-0.908,委买,4744000,4700924.48,4700924.48,0,-43075.52,4700924.48,-43075.52,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,13:33:18,00000007,CU010005,诚骋-BIRLA,铜,47280,100,98.255,00000007,诚骋,BIRLA,上海迈科迪信投资管理有限公司,98.255,-1.745,委卖,4728000,4645496.4,4645496.4,0,-82503.6,4645496.4,-82503.6,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,13:33:18,00000007,CU010005,诚骋-BIRLA,铜,47280,100,98.255,00000012,诚骋,BIRLA,上海严民金属材料有限公司,98.255,-1.745,委买,4728000,4645496.4,4645496.4,0,-82503.6,4645496.4,-82503.6,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,13:36:29,00000008,CU010055,诚骋-SPENCE,铜,47240,100,98.558,00000006,诚骋,SPENCE,上海金田铜业有限公司,98.558,-1.442,委买,4724000,4655879.92,4655879.92,0,-68120.08,4655879.92,-68120.08,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,13:36:29,00000008,CU010055,诚骋-SPENCE,铜,47240,100,98.558,00000007,诚骋,SPENCE,上海迈科迪信投资管理有限公司,98.558,-1.442,委卖,4724000,4655879.92,4655879.92,0,-68120.08,4655879.92,-68120.08,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,13:39:39,00000009,CU010063,诚骋-UMMC,铜,47250,100,101.823,00000006,诚骋,UMMC,上海金田铜业有限公司,101.823,1.823,委买,4725000,4811136.75,4811136.75,0,86136.75,4811136.75,86136.75,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,13:39:39,00000009,CU010063,诚骋-UMMC,铜,47250,100,101.823,00000007,诚骋,UMMC,上海迈科迪信投资管理有限公司,101.823,1.823,委卖,4725000,4811136.75,4811136.75,0,86136.75,4811136.75,86136.75,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,13:44:30,00000010,CU010057,诚骋-STERLI,铜,47120,25,25.421,00000006,诚骋,STERLI,上海金田铜业有限公司,25.421,0.421,委买,1178000,1197837.52,1197837.52,0,19837.52,1197837.52,19837.52,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,13:44:30,00000010,CU010057,诚骋-STERLI,铜,47120,25,25.421,00000007,诚骋,STERLI,上海迈科迪信投资管理有限公司,25.421,0.421,委卖,1178000,1197837.52,1197837.52,0,19837.52,1197837.52,19837.52,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,13:47:01,00000011,CU010019,诚骋-FHG,铜,47180,100,100.348,00000006,诚骋,FHG,上海金田铜业有限公司,100.348,0.348,委买,4718000,4734418.64,4734418.64,0,16418.64,4734418.64,16418.64,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,13:47:01,00000011,CU010019,诚骋-FHG,铜,47180,100,100.348,00000007,诚骋,FHG,上海迈科迪信投资管理有限公司,100.348,0.348,委卖,4718000,4734418.64,4734418.64,0,16418.64,4734418.64,16418.64,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,13:48:21,00000012,CU010063,诚骋-UMMC,铜,47150,40,40.31,00000006,诚骋,UMMC,上海金田铜业有限公司,40.31,0.31,委买,1886000,1900616.5,1900616.5,0,14616.5,1900616.5,14616.5,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,13:48:21,00000012,CU010063,诚骋-UMMC,铜,47150,40,40.31,00000007,诚骋,UMMC,上海迈科迪信投资管理有限公司,40.31,0.31,委卖,1886000,1900616.5,1900616.5,0,14616.5,1900616.5,14616.5,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,13:51:32,00000013,CU010064,诚骋-祥光,铜,47240,5,5.858,00000007,诚骋,祥光,上海迈科迪信投资管理有限公司,5.858,0.858,委卖,236200,276731.92,276731.92,0,40531.92,276731.92,40531.92,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,13:51:32,00000013,CU010064,诚骋-祥光,铜,47240,5,5.858,00000022,诚骋,祥光,上海五锐国际贸易有限公司,5.858,0.858,委买,236200,276731.92,276731.92,0,40531.92,276731.92,40531.92,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,14:01:45,00000014,CU010005,诚骋-BIRLA,铜,47170,50,49.902,00000007,诚骋,BIRLA,上海迈科迪信投资管理有限公司,49.902,-0.098,委卖,2358500,2353877.34,2353877.34,0,-4622.66,2353877.34,-4622.66,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,14:01:45,00000014,CU010005,诚骋-BIRLA,铜,47170,50,49.902,00000012,诚骋,BIRLA,上海严民金属材料有限公司,49.902,-0.098,委买,2358500,2353877.34,2353877.34,0,-4622.66,2353877.34,-4622.66,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,14:09:38,00000015,CU010055,诚骋-SPENCE,铜,47240,100,100.78,00000006,诚骋,SPENCE,上海金田铜业有限公司,100.78,0.78,委买,4724000,4760847.2,4760847.2,0,36847.2,4760847.2,36847.2,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,14:09:38,00000015,CU010055,诚骋-SPENCE,铜,47240,100,100.78,00000007,诚骋,SPENCE,上海迈科迪信投资管理有限公司,100.78,0.78,委卖,4724000,4760847.2,4760847.2,0,36847.2,4760847.2,36847.2,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,14:13:29,00000016,CU010005,诚骋-BIRLA,铜,47250,50,50.245,00000007,诚骋,BIRLA,上海迈科迪信投资管理有限公司,50.245,0.245,委卖,2362500,2374076.25,2374076.25,0,11576.25,2374076.25,11576.25,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,14:13:29,00000016,CU010005,诚骋-BIRLA,铜,47250,50,50.245,00000012,诚骋,BIRLA,上海严民金属材料有限公司,50.245,0.245,委买,2362500,2374076.25,2374076.25,0,11576.25,2374076.25,11576.25,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,14:18:01,00000017,CU010009,诚骋-CCC-P,铜,47520,50,50.408,00000006,诚骋,CCC-P,上海金田铜业有限公司,50.408,0.408,委买,2376000,2395388.16,2395388.16,0,19388.16,2395388.16,19388.16,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,14:18:01,00000017,CU010009,诚骋-CCC-P,铜,47520,50,50.408,00000007,诚骋,CCC-P,上海迈科迪信投资管理有限公司,50.408,0.408,委卖,2376000,2395388.16,2395388.16,0,19388.16,2395388.16,19388.16,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
2017/02/27,14:23:02,00000018,CU010025,诚骋-HMG-S,铜,47340,50,49.651,00000007,诚骋,HMG-S,上海迈科迪信投资管理有限公司,49.651,-0.349,委卖,2367000,2350478.34,2350478.34,0,-16521.66,2350478.34,-16521.66,0,正常交收,平台开票,2017/10/20 10:55:06,2017/10/19 10:55:06,,
