jsrq,jiaosrq,cjsj,jsbh,spdm,spmc,pzdl,jsj,jsl,phl,jysbh,qylb,ppdm,jysmc,sjghl,ghydl,wtlx,lldk,sjdk,yhkje,djdk,dyje,ghdyje,jsfs,jszt,drsj,sjsj,byzd1,byzd2
2016/07/22,2016/07/18,10:30:48,00000001,000032,诚骋-CU-LBF,铜,37800,50,49.823,001,,,1,49.823,-0.177,委卖,1890000,1883309.4,1701000,182309.4,-6690.6,-6690.6,买方收票确认,正常交收,2017/10/20 10:50:28,2017/10/19 10:50:28,,
2016/07/22,2016/07/18,10:30:48,00000001,000032,诚骋-CU-LBF,铜,37800,50,49.823,00100001,,,0,49.823,-0.177,委买,1890000,1883309.4,1701000,182309.4,-6690.6,-6690.6,买方收票确认,正常交收,2017/10/20 10:50:28,2017/10/19 10:50:28,,
2016/07/22,2016/07/18,10:31:58,00000002,000032,诚骋-CU-LBF,铜,37800,50,50.16,001,,,1,50.16,0.16,委卖,1890000,1896048,1701000,195048,6048,6048,买方收票确认,正常交收,2017/10/20 10:50:28,2017/10/19 10:50:28,,
2016/07/22,2016/07/18,10:31:58,00000002,000032,诚骋-CU-LBF,铜,37800,50,50.16,00100001,,,0,50.16,0.16,委买,1890000,1896048,1701000,195048,6048,6048,买方收票确认,正常交收,2017/10/20 10:50:28,2017/10/19 10:50:28,,
2016/09/29,2016/09/20,10:38:30,00000001,CU010002,诚骋-ABRA,铜,37200,25,23.904,00000001,诚骋,ABRA,深圳迈科大宗商品金融服务有限公司,23.904,-1.096,委卖,930000,889228.8,889228.8,0,-40771.2,-40771.2,买方收票确认,正常交收,2017/10/20 10:50:28,2017/10/19 10:50:28,,
2016/09/29,2016/09/20,10:38:30,00000001,CU010002,诚骋-ABRA,铜,37200,25,23.904,001,诚骋,ABRA,1,23.904,-1.096,委买,930000,889228.8,889228.8,0,-40771.2,-40771.2,买方收票确认,正常交收,2017/10/20 10:50:28,2017/10/19 10:50:28,,
2016/09/29,2016/07/22,11:29:53,00000001,000049,诚骋-CU-RT,铜,38350,25,26.051,001,,,1,26.051,1.051,委卖,958750,999055.85,862875,136180.85,40305.85,40305.85,买方收票确认,正常交收,2017/10/20 10:50:28,2017/10/19 10:50:28,,
2016/09/29,2016/07/22,11:29:53,00000001,000049,诚骋-CU-RT,铜,38350,25,26.051,00100001,,,0,26.051,1.051,委买,958750,999055.85,862875,136180.85,40305.85,40305.85,买方收票确认,正常交收,2017/10/20 10:50:28,2017/10/19 10:50:28,,
2016/09/29,2016/09/19,14:08:19,00000001,CU010002,诚骋-ABRA,铜,37180,5,4.904,001,诚骋,ABRA,1,4.904,-0.096,委卖,185900,182330.72,182330.72,0,-3569.28,-3569.28,买方收票确认,正常交收,2017/10/20 10:50:28,2017/10/19 10:50:28,,
2016/09/29,2016/09/19,14:08:19,00000001,CU010002,诚骋-ABRA,铜,37180,5,4.904,00100001,诚骋,ABRA,0,4.904,-0.096,委买,185900,182330.72,182330.72,0,-3569.28,-3569.28,买方收票确认,正常交收,2017/10/20 10:50:28,2017/10/19 10:50:28,,
2016/09/29,2016/09/19,14:11:39,00000002,CU010002,诚骋-ABRA,铜,37180,20,19,001,诚骋,ABRA,1,19,-1,委卖,743600,706420,706420,0,-37180,-37180,买方收票确认,正常交收,2017/10/20 10:50:28,2017/10/19 10:50:28,,
